,,,,,,,,"* this is necessary because often, the values of some cells are extremely similar",,,,,,,,,,,,,,,,,,,,,,,,
P(Xi|Zj) from Matt,,,,,,,,"Rounded to 3 significant figures, in scientific notation",,,,,,,,,cells containing max value of each row are marked with 1,,,,,,,,,normalises each row to sum to 1,,,,,,
1,2,3,4,5,6,7,,1,2,3,4,5,6,7,Max,,1,2,3,4,5,6,7,sum of matches this row,,1,2,3,4,5,6,7
5.06095E+11,5.06095E+11,9.15972E+11,9.15972E+11,5.06095E+11,5.06095E+11,9.15972E+11,,5.06E+11,5.06E+11,9.16E+11,9.16E+11,5.06E+11,5.06E+11,9.16E+11,9.16E+11,,0,0,1,1,0,0,1,3,,0,0,0.333333333,0.333333333,0,0,0.333333333
352968001.6,2057487.525,22521992.7,71855.06093,2258865.531,17875917.06,2328252.872,,353000000,2060000,22500000,71900,2260000,17900000,2330000,353000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
56435133.63,56435133.43,10295985198,32848720.52,518016062.8,56435133.52,1064366614,,56400000,56400000,10300000000,32800000,518000000,56400000,1060000000,10300000000,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
825039560.7,468429717.6,50868113.47,50868113.47,825039560.7,468429717.6,50868113.42,,825000000,468000000,50900000,50900000,825000000,468000000,50900000,825000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
259025873.8,1509889.001,16527783.86,52730.89871,1657670.426,13118257.22,1708590.387,,259000000,1510000,16500000,52700,1660000,13100000,1710000,259000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
17832.09821,139761.1823,569.0099778,1.815392061,85.51056089,1345.716121,58.82246465,,17800,140000,569,1.82,85.5,1350,58.8,140000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
19095354.98,151114343.5,607427.8777,190390016.4,2983820504,17393002.87,607427.8777,,19100000,151000000,607000,190000000,2980000000,17400000,607000,2980000000,,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0
2299536.456,18197773.35,73148.81295,22927501.7,359323198.6,2094532.634,73148.81295,,2300000,18200000,73100,22900000,359000000,2090000,73100,359000000,,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0
20722.24615,162413.0593,661.2326092,2.109622805,99.36973572,1563.823859,68.35615081,,20700,162000,661,2.11,99.4,1560,68.4,162000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
10022047.22,53081105.72,4661251.897,13519.89818,636828.8712,10022047.21,1054266705,,10000000,53100000,4660000,13500,637000,10000000,1050000000,1050000000,,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,1
550979.5036,400247.2244,33550.09346,101.944027,4801.877851,75569.19716,55053.29547,,551000,400000,33600,102,4800,75600,55100,551000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
8837953198,5017892611,544907211.2,544907210.8,8837953193,5017892611,544907210,,8840000000,5020000000,545000000,545000000,8840000000,5020000000,545000000,8840000000,,1,0,0,0,1,0,0,2,,0.5,0,0,0,0.5,0,0
4028075941,23480077.4,257021306.6,820010.9948,25778206.12,204000224.1,26570055.47,,4030000000,23500000,257000000,820000,25800000,204000000,26600000,4030000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
202494.0096,1587070.791,6461.444446,20.61484925,971.0229321,15281.4015,667.9638349,,202000,1590000,6460,20.6,971,15300,668,1590000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
2195598573,12798374.51,140095574.7,446966.4913,14051024.21,111195172.9,14482640.53,,2200000000,12800000,140000000,447000,14100000,111000000,14500000,2200000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
1134043.206,8974444.039,36074.18971,11306964.7,177204423.6,1032943.191,36074.18971,,1130000,8970000,36100,11300000,177000000,1030000,36100,177000000,,0,0,0,0,1,0,0,1,,0,0,0,0,1,0,0
1059890702,8387625564,33715380.53,1059890703,8387625564,965401376.7,33715380.53,,1060000000,8390000000,33700000,1060000000,8390000000,965000000,33700000,8390000000,,0,1,0,0,1,0,0,2,,0,0.5,0,0,0.5,0,0
1039118301,6057129.631,66303502.54,211537.3305,6649975.356,52625712.45,6854247.857,,1040000000,6060000,66300000,212000,6650000,52600000,6850000,1040000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
3056137648,17814547.06,195004389.9,622149.7582,19558158.13,154776815,20158941.39,,3060000000,17800000,195000000,622000,19600000,155000000,20200000,3060000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
63594.53209,46196.88146,3872.380881,11.766468,554.2369056,8722.262268,6354.299104,,63600,46200,3870,11.8,554,8720,6350,63600,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
153824.1575,1205615.058,4908.422969,15.66002779,737.6355712,11608.48519,507.4173526,,154000,1210000,4910,15.7,738,11600,507,1210000,,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
6792128.675,53750666.95,216059.2621,71105769.02,53750667.19,6186609.952,216059.2621,,6790000,53800000,216000,71100000,53800000,6190000,216000,71100000,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
7411293.545,43201.20784,472895.8387,1508.745684,47429.55579,375341.8669,48886.48661,,7410000,43200,473000,1510,47400,375000,48900,7410000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
768560494.2,4480019.808,49039895.3,156458.8316,4918504.796,38923425.32,5069590.363,,769000000,4480000,49000000,156000,4920000,38900000,5070000,769000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
32811121299,3574599604,2080636936,6.52147E+11,3574599613,3574599598,2080636936,,32800000000,3570000000,2080000000,6.52E+11,3570000000,3570000000,2080000000,6.52E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
199118075.2,199118074.6,36326958510,115898972.7,1827697656,199118074.9,3755366881,,199000000,199000000,36300000000,116000000,1830000000,199000000,3760000000,36300000000,,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,0
13125391628,1429942597,832314579,2.60878E+11,1429942599,1429942585,832314579,,13100000000,1430000000,832000000,2.61E+11,1430000000,1430000000,832000000,2.61E+11,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0
3598405502,20975483.31,229605125.9,732541.3221,23028473.17,182239744.1,23735856.81,,3600000000,21000000,230000000,733000,23000000,182000000,23700000,3600000000,,1,0,0,0,0,0,0,1,,1,0,0,0,0,0,0
